"","Column1","study","year","psy_or_med","active_type","control_type","descr_active","descr_control","instrument","rating","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","percent_women","responders_active","responders_control","cuij_responders_active","cuij_responders_control","country","comorbid_mental","comorbid_mental?","diagnosis","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall"
"1",1,"Ackerson, 1998","1998",1,"cbt","wl","cbt","wlc","ham-d","clinician",8.8,5.3,12,20.5,3.4,10,19.9,5.5,12,21,5,10,64,7,0,"7","0.2","us","n","NA","cut",15.97,1.43,15.89,0.86,NA,NA
"2",2,"Ackerson, 1998","1998",1,"cbt","wl","cbt","wlc","cdi","self-report",9.4,6.7,12,15.8,5.2,10,19.2,7.1,12,16.8,4.5,10,64,7,0,NA,NA,"us","n","NA","cut",15.97,1.43,15.89,0.86,NA,NA
"3",3,"Ackerson, 1998","1998",1,"cbt","wl","cbt","wlc","cbcl-d","parent_report",64.8,10.1,12,69.5,11.1,10,71.9,9.5,12,70.9,9.1,10,64,0,0,NA,NA,"us","n","NA","cut",15.97,1.43,15.89,0.86,NA,NA
"4",4,"Arnarson, 2009","2009",1,"cbt","cau","cbt","cau","DSM","clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,"eu","n","NA","sub",NA,NA,NA,NA,14.5,NA
"5",5,"Asarnow, 2002","2002",1,"cbt","wl","cbt + family education","wlc","cdi","self-report",9.54,7.1,12,12.33,10.56,11,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,"us","n","NA","cut",NA,NA,NA,NA,NA,NA
"6",6,"Bolton, 2007","2007",1,"ipt","wl","ipt","wlc","Acholi Psychosocial Assessment Instrument (APAI): a local instrument","clinician",27.8,17.2,105,37.3,15.9,104,43.5,10.1,105,44.2,10.8,104,57,33,22,"39","14","other","n","NA","cut",15,1.1,15.2,1.2,NA,NA
"7",7,"Bolton, 2007","2007",1,"ipt","other ctr","ipt","creative play","Acholi Psychosocial Assessment Instrument (APAI): a local instrument","clinician",27.8,17.2,105,40.6,15.7,105,43.5,10.1,105,44.2,11.2,105,57,32,21,NA,NA,"other","n","NA","cut",15,1.1,14.7,1,NA,NA
"8",8,"Brent, 1997","1997",1,"cbt","cau","cbt","individual nondirective supportive therapy (NST)","bdi","self-report",5.7,8.6,35,NA,NA,24,24.3,8.1,37,25.7,7.8,35,51.9,NA,NA,NA,NA,"us","n",NA,"mdd",15.7,1.3,15.7,1.5,15.6,NA
"9",9,"Brent, 1997","1997",1,"other psy","cau","systemic behavior family therapy","individual nondirective supportive therapy (NST)","bdi","self-report",9.1,9.1,29,NA,NA,24,22.6,8.2,35,25.7,7.8,35,78.6,NA,NA,NA,NA,"us","n",NA,"mdd",15.4,1.4,15.7,1.5,15.6,NA
"10",10,"Charkhandeh, 2016","2016",1,"cbt","wl","cbt","wlc","cdi","self-report",19.94,5.59,65,30.38,4.66,60,29.46,5.47,65,30.35,5.45,60,54,16,0,"11","0.2","oth","n","NA","mdd",NA,NA,NA,NA,15.26,NA
"11",11,"Charkhandeh, 2016","2016",1,"cbt","other ctr","cbt","Reiki","cdi","self-report",19.94,5.59,65,26.33,5.88,63,29.46,5.47,65,30,5.37,63,54,13,2,NA,NA,"oth","n","NA","mdd",NA,NA,NA,NA,15.26,NA
"12",12,"Clarke, 1995","1995",1,"cbt","cau","cbt+cau","cau","ces-d","self-report",17.88,9.3,52,21.67,12.3,68,24.29,9.6,55,21.88,9.2,70,7,13,10,NA,NA,"us","n","NA","sub",NA,NA,NA,NA,15.3,0.7
"13",13,"Clarke, 1995","1995",1,"cbt","cau","cbt+cau","cau","ham-d","clinician",1.87,2.5,52,2.91,4.3,68,3.55,3.2,55,3.86,3.1,70,7,20,25,"25","28","us","n","NA","sub",NA,NA,NA,NA,15.3,0.7
"14",14,"Clarke, 1999","1999",1,"cbt","wl","cbt","wlc","ham-d","clinician",4.6,4.8,37,7.7,7,27,13,5.3,37,14.5,5.9,27,71,24,14,"24","7","us","n","NA","mood",NA,NA,NA,NA,16.2,1.3
"15",15,"Clarke, 1999","1999",1,"cbt","wl","cbt","wlc","bdi","self-report",10.1,9.1,37,16,11.2,27,26.5,9.4,37,24.2,10.8,27,71,22,12,NA,NA,"us","n","NA","mood",NA,NA,NA,NA,16.2,1.3
"16",16,"Clarke, 1999","1999",1,"cbt","wl","cbt","wlc","cbcl-d","parent_report",11.5,4.7,37,9,5.9,27,14.5,4,37,14.9,4.9,27,71,7,11,NA,NA,"us","n","NA","mood",NA,NA,NA,NA,16.2,1.3
"17",17,"Clarke, 1999","1999",1,"cbt","wl","cbt + parenting group","wlc","ham-d","clinician",6.7,7.1,32,7.7,7,27,15.1,6,32,14.5,5.9,27,71,16,18,"18","7","us","n","NA","mood",NA,NA,NA,NA,16.2,1.3
"18",18,"Clarke, 1999","1999",1,"cbt","wl","cbt + parenting group","wlc","bdi","self-report",13.3,10.9,32,16,11.2,27,26.4,8.7,32,24.2,10.8,27,71,20,11,NA,NA,"us","n","NA","mood",NA,NA,NA,NA,16.2,1.3
"19",19,"Clarke, 1999","1999",1,"cbt","wl","cbt + parenting group","wlc","cbcl-d","parent_report",11.7,6.7,32,9,5.9,27,16.1,5.5,32,14.9,4.9,27,71,9,9,NA,NA,"us","n","NA","mood",NA,NA,NA,NA,16.2,1.3
"20",20,"Clarke, 2001","2001",1,"cbt","cau","cbt + cau","cau","ces-d","self-report",17.8,8.7,45,22.5,11.3,49,25.2,8.7,45,23.8,10.3,49,64,13,9,NA,NA,"us","n","NA","sub",14.4,1.4,14.7,1.5,NA,NA
"21",21,"Clarke, 2001","2001",1,"cbt","cau","cbt + cau","cau","ham-d","clinician",1.8,2.1,45,2.9,4.6,49,3.2,3.4,45,3.1,3.2,49,64,22,15,"18","18","us","n","NA","sub",14.4,1.4,14.7,1.5,NA,NA
"22",22,"Clarke, 2001","2001",1,"cbt","cau","cbt + cau","cau","cbcl-d","parent_report",7.8,5.5,45,6.4,3.5,49,8.8,5.3,45,6.8,4.1,49,64,11,13,NA,NA,"us","n","NA","sub",14.4,1.4,14.7,1.5,NA,NA
"23",23,"Clarke, 2002","2002",1,"cbt","cau","cbt + cau","cau","ces-d","self-report",26.7,12.6,41,29.3,12.8,47,33.5,8.3,41,34.2,9.8,47,69,5,7,NA,NA,"us","n","NA","mood",15.2,1.3,15.3,1.3,NA,NA
"24",24,"Clarke, 2002","2002",1,"cbt","cau","cbt + cau","cau","ham-d","clinician",5.5,5.2,41,6,5.1,47,12,5.3,41,11.4,5,47,69,23,22,"22","22","us","n","NA","mood",15.2,1.3,15.3,1.3,NA,NA
"25",25,"Clarke, 2002","2002",1,"cbt","cau","cbt + cau","cau","cbcl-d","parent_report",10.2,5.8,41,8.9,5.1,47,9.6,5.3,41,9.3,5.7,47,69,5,13,NA,NA,"us","n","NA","mood",15.2,1.3,15.3,1.3,NA,NA
