"new_study_id","type","treatment","psy_or_med","baseline_n","cohens_d","baseline_mean","baseline_sd","post_mean","post_sd","arm_effect_size"
"Ackerson, 1998","cbt","cbt",1,12,-2.05555555555555,19.9,5.5,8.8,5.3,"cohens_d_active"
"Arnarson, 2009","cbt","cbt",1,NA,NA,NA,NA,NA,NA,"cohens_d_active"
"Asarnow, 2002","cbt","cbt + family education",1,NA,NA,NA,7.1,9.54,7.1,"cohens_d_active"
"Atkinson, 2014","Duloxetine","Duloxetine",0,117,-2.30476190476191,59.2,10.5,35,10.5,"cohens_d_active"
"Atkinson, 2014","Fluoxetine","Fluoxetine",0,117,-2.18867924528302,58.8,10.6,35.6,10.6,"cohens_d_active"
"Berard, 2006","Paroxetine","Paroxetine",0,182,-2.01481481481481,25.9,6.75,12.3,6.75,"cohens_d_active"
"Bolton, 2007","ipt","ipt",1,105,-1.15018315018315,43.5,10.1,27.8,17.2,"cohens_d_active"
"Bristol-Myers Squibb, 2002a","Nefazodone","Nefazodone",0,NA,NA,NA,9.50882352941176,NA,11.0676470588235,"cohens_d_active"
"Bristol-Myers Squibb, 2002b","Nefazodone","Nefazodone",0,90,-2.25500285877644,61.2,9.50882352941176,38,11.0676470588235,"cohens_d_active"
"Charkhandeh, 2016","cbt","cbt",1,65,-1.72151898734177,29.46,5.47,19.94,5.59,"cohens_d_active"
"Clarke, 1995","cbt","cbt+cau",1,55,-0.589473684210526,3.55,3.2,1.87,2.5,"cohens_d_active"
"Clarke, 1999","cbt","cbt + parenting group",1,32,-1.2824427480916,15.1,6,6.7,7.1,"cohens_d_active"
"Clarke, 1999","cbt","cbt",1,37,-1.66336633663366,13,5.3,4.6,4.8,"cohens_d_active"
"Clarke, 2001","cbt","cbt + cau",1,45,-0.509090909090909,3.2,3.4,1.8,2.1,"cohens_d_active"
"Clarke, 2002","cbt","cbt + cau",1,41,-1.23809523809524,12,5.3,5.5,5.2,"cohens_d_active"
"De Cuyper, 2004","cbt","cbt",1,9,-0.425602660016625,12.67,6,10.11,6.03,"cohens_d_active"
"De Jonge-Heesen, 2020","cbt","cbt",1,66,-0.477064220183486,16.18,4.92,13.32,7.07,"cohens_d_active"
"Diamond, 2002","other psy","abft (attachment based family therapy)",1,16,-1.48148148148148,23.8,7.4,11.8,8.8,"cohens_d_active"
"Diamond, 2010","other psy","Attachment-Based Family Therapy",1,35,-1.73322005097706,33,9.66,12.6,13.88,"cohens_d_active"
"Emslie, 1997","Fluoxetine","Fluoxetine",0,48,-1.58893280632411,58.5,10.5,38.4,14.8,"cohens_d_active"
"Emslie, 2002a","Fluoxetine","Fluoxetine",0,109,-1.88034188034188,57.1,9.9,35.1,13.5,"cohens_d_active"
"Emslie, 2002b","Nefazodone","Nefazodone",0,99,NA,NA,9.50882352941176,NA,11.0676470588235,"cohens_d_active"
"Emslie, 2006","Paroxetine","Paroxetine",0,101,-2.40981856990395,60.7,9.37,38.12,9.37,"cohens_d_active"
"Emslie, 2007a","Venlafaxine","Venlafaxine",0,80,-1.37225170583776,54.4,13.19,36.3,13.19,"cohens_d_active"
"Emslie, 2007b","Venlafaxine","Venlafaxine",0,102,-1.88361408882083,57.3,13.06,32.7,13.06,"cohens_d_active"
"Emslie, 2009","Escitalopram","Escitalopram",0,154,-2.6984126984127,57.6,8.19,35.5,8.19,"cohens_d_active"
"Emslie, 2014","Duloxetine","Duloxetine",0,108,-2.22935779816514,59.3,10.9,35,10.9,"cohens_d_active"
